Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
1865871,200485,LİMİTED,ETİLER,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,4 E DERİ TEKSTİL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ETİLER MAHALLESİ 1268 SOKAK NO:14/301 KONAK / İZMİR
1730341,186823,LİMİTED,YENİŞEHİR,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,9A İLERİ TEKNOLOJİ ÜRÜNLERİ TIBBİ MALZEME TEKSTİL TEMİZLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YENİŞEHİR MAHALLESİ GAZİLER CADDESİ NO:353/72 KONAK / İZMİR
1980411,212023,LİMİTED,YENİ MAHALLE,ÇİĞLİ,14,KUMAŞ VE TUHAFİYE GRUBU,ADA DENİM KUMAŞ TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,YENİ MAHALLE MAHALLESİ 8764/2 SK. NO: 11 İÇ KAPI NO: 6 ÇİĞLİ / İZMİR
1914451,205378,LİMİTED,ÇINAR,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,AFD FERMUAR DÜĞME VE TEKSTİL SANAYİ TİCARET LİMİTED ŞİRKETİ,ÇINAR MAHALLESİ 5003/2 SK. NO: 3 -5/309 BORNOVA/İZMİR
2188121,232917,LİMİTED,AKDENİZ,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,AG KUMAŞÇILIK TEKSTİL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKET ŞİRKETİ,AKDENİZ MAHALLESİ 1334 SOKAK NO: 9 İÇ KAPI NO: 11 KONAK / İZMİR
561681,73583,LİMİTED,AKDENİZ,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,AHMET PAKSOY TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,AKDENİZ MAHALLESİ 1334 SOKAK NO:9/32 ÇANKAYA KONAK / İZMİR
617961,101057,LİMİTED,AKTEPE,GAZİEMİR,14,KUMAŞ VE TUHAFİYE GRUBU,AKIŞOĞULLARI TEKSTİL İNŞAAT VE GIDA ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,AKTEPE MAHALLESİ 140 SK. NO: 10/ GAZİEMİR/İZMİR
2249851,239143,LİMİTED,ADALET,BAYRAKLI,14,KUMAŞ VE TUHAFİYE GRUBU,ALFA GLOBAL TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,ADALET MAHALLESİ MANAS BUL. FOLKART TOWERS BLOK NO: 47B İÇ KAPI NO: 260 BAYRAKLI / İZMİR
1858181,199707,LİMİTED,YENİGÜN,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,ALTAY KUMAŞ TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,YENİGÜN MAHALLESİ 1307 SOKAK NO:10/B/B KONAK / İZMİR
2306260,256216,LİMİTED,GÜVENDİK,URLA,14,KUMAŞ VE TUHAFİYE GRUBU,ARTAPOL ENTEGRE MAKİNE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GÜVENDİK MAH. HARBİYE CAD. NO: 117/2 İÇ KAPI NO: 6 URLA / İZMİR
2109011,224964,LİMİTED,AKDENİZ,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,ASPAŞ ASTAR SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ GAZİ BULVARI ŞUBESİ,AKDENİZ MAHALLESİ GAZİ BULVARI SÜREYYA REYENT İŞHAN BLOK NO: 63 KONAK / İZMİR
2160391,230118,LİMİTED,AKDENİZ,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,AŞM EGE TEKSTİL TURİZM İNŞAAT OTOMOTİV GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKDENİZ MAH. MİMAR KEMALETTİN CAD. ATALAY ISHANI BLOK NO: 48A KONAK / İZMİR
1508061,163417,LİMİTED,KORUTÜRK,BALÇOVA,14,KUMAŞ VE TUHAFİYE GRUBU,ATASAN TEKSTİL İTHALAT İHRACAT GİYİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,KORUTÜRK MAHALLESİ PALMİYE SOKAK NO:11/B BALÇOVA / İZMİR
1688921,182776,ANONİM,MERİÇ,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,AZRAM TEKSTİL TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,MERİÇ MAH. 5748 SK. NO: 59 İÇ KAPI NO: 1 BORNOVA / İZMİR
1962111,210160,ANONİM,MERİÇ,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BADE KUMAŞ TEKSTİL KONFEKSİYON TURİZM İÇ VE DIŞ TİCARET SANAYİ ANONİM ŞİRKETİ,MERİÇ MAHALLESİ 5747/8 SK. NO: 1 B-/21- BORNOVA/İZMİR
1944481,208396,LİMİTED,MERSİNLİ,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,BAŞKAYA FİLTRE SIVI ARITMA VE TOZ TUTUCU SİSTEMLERİ SANAYİ TİCARET İTHALAT İHRACAT LİMİTED ŞİRKETİ,MERSİNLİ MAH. 2839 SK. NO: 10 KONAK / İZMİR
2030541,216789,LİMİTED,MERİÇ,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BATI ANADOLU KUMAŞÇILIK TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,MERİÇ MAHALLESİ 5746 SOKAK NO:5/1 BORNOVA / İZMİR
1501901,162811,LİMİTED,MANAVKUYU,BAYRAKLI,14,KUMAŞ VE TUHAFİYE GRUBU,BAYSTOR MEFRUŞAT TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,MANAVKUYU MAHALLESİ SAKARYA CAD. NO:36/C BAYRAKLI / İZMİR
2302223,252160,LİMİTED,İNÖNÜ,BUCA,14,KUMAŞ VE TUHAFİYE GRUBU,BELLİSİMO KUMAŞ VE TEKSTİL SANAYİ TİCARET LİMİTED ŞİRKETİ,İNÖNÜ MAH. 672/30 SK. NO: 2A BUCA / İZMİR
2005871,214591,LİMİTED,YEŞİLOVA,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BELSAN TEKSTİL ÜRÜNLERİ MAKİNA SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,YEŞİLOVA MAHALLESİ ABDİ İPEKÇİ CADDESİ NO: 55 BORNOVA / İZMİR
2302058,251997,LİMİTED,MEVLANA,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BEST KUMAŞÇILIK TEKSTİL AKSESUARLARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MEVLANA MAH. 1751 SK. MEHMET EMİN KAÇ SİTESİ NO: 4 İÇ KAPI NO: A BORNOVA / İZMİR
2002891,214286,LİMİTED,AŞIK VEYSEL,KARABAĞLAR,14,KUMAŞ VE TUHAFİYE GRUBU,BEY KUMAŞÇILIK TEKSTİL SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ İZMİR ŞUBESİ,AŞIK VEYSEL MAHALLESİ 4043 SK. NO: 4 KARABAĞLAR/İZMİR
2223351,236453,ANONİM,OĞLANANASI ATATÜRK,MENDERES,14,KUMAŞ VE TUHAFİYE GRUBU,BİMER ELYAF ANONİM ŞİRKETİ MENDERES ŞUBESİ,OĞLANANASI ATATÜRK MAH. SAİM ÇIKRIKÇI CAD. NO: 135 MENDERES / İZMİR
654321,80274,LİMİTED,AYDIN,KARABAĞLAR,14,KUMAŞ VE TUHAFİYE GRUBU,BİRLİK ÇEYİZ TEKSTİL ÜRÜNLERİ VE SARRAFİYE SANAYİ TİCARET LİMİTED ŞİRKETİ,AYDIN MAHALLESİ 4311 SK. NO: 10 KARABAĞLAR/İZMİR
2085611,222610,LİMİTED,MERİÇ,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BOĞABEY TEKSTİL GIDA İNŞAAT OTOMOTİV TARIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERİÇ MAHALLESİ 5748 SOKAK NO:73/1 BORNOVA / İZMİR
2294517,244416,LİMİTED,ESENLİK,KARABAĞLAR,14,KUMAŞ VE TUHAFİYE GRUBU,BRO ÇANTA TEKSTİL İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ESENLİK MAH. 9033 SK. NO: 34 KARABAĞLAR / İZMİR
1882471,202157,LİMİTED,YENİGÜN,KONAK,14,KUMAŞ VE TUHAFİYE GRUBU,BY GÜLTAŞ TEKSTİL GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,YENİGÜN MAHALLESİ 1310 SK. NO: 13 KONAK/İZMİR
2302219,252161,LİMİTED,MERİÇ,BORNOVA,14,KUMAŞ VE TUHAFİYE GRUBU,BY JOSEPH TEKSTİL KUMAŞÇILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERİÇ MAH. 5746/5 SK. NO: 15 İÇ KAPI NO: 1 BORNOVA / İZMİR
2203211,234443,LİMİTED,SEYHAN,BUCA,14,KUMAŞ VE TUHAFİYE GRUBU,BY POYRAZ KUMAŞ SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,SEYHAN MAHALLESİ 630 SK. NO:6 BUCA / İZMİR
