Oda Sicil No,Ticari Sicil No,Şirket Türü,Mahalle Adı,İlçe Adı,Meslek Grubu Numarası,Meslek Grubu Adı,Ünvanı,Tescilli Adresi
2297123,247031,ANONİM,ADALET,BAYRAKLI,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,3GEN YATIRIM HOLDİNG ANONİM ŞİRKETİ,ADALET MAH. MANAS BUL. NO: 39 İÇ KAPI NO: 3408 BAYRAKLI / İZMİR
2101431,224200,ANONİM,KEMALPAŞA,BORNOVA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,ABALIOĞLU MENKUL VE GAYRİMENKUL ANONİM ŞİRKETİ ,KEMALPAŞA MAHALLESİ 7412 SK. NO:4 BORNOVA / İZMİR
1541431,166775,ANONİM,MANSUROĞLU,BAYRAKLI,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,ABC FAKTORİNG ANONİM ŞİRKETİ İZMİR ŞUBESİ,MANSUROĞLU MAH. 286/4 SK. FATMA SÜREYYA ARIKAN SİTESİ NO: 2 İÇ KAPI NO: 20 BAYRAKLI / İZMİR
2105621,224626,ANONİM,MANSUROĞLU,BAYRAKLI,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,ADAMAX TEKNOLOJİ ANONİM ŞİRKETİ,MANSUROĞLU MAH. 286/3 SK. NO: 14B BAYRAKLI / İZMİR
2302594,252529,ANONİM,MANSUROĞLU,BAYRAKLI,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,ADIGÜZEL HOLDİNG ANONİM ŞİRKETİ,MANSUROĞLU MAH. 288/4 SK. NO: 14 İÇ KAPI NO: 2 BAYRAKLI / İZMİR
2179771,232077,LİMİTED,DONANMACI,KARŞIYAKA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,ADW YATIRIM DANIŞMANLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ ,DONANMACI MAHALLESİ ULVİ BAŞMAN SOKAK EYÜP İŞHANI BLOK NO: 66 İÇ KAPI NO: 404 KARŞIYAKA / İZMİR
1667931,180670,ANONİM,ÇINARLI,KONAK,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AK YATIRIM MENKUL DEĞERLER ANONİM ŞİRKETİ İZMİR ŞUBESİ,ÇINARLI MAHALLESİ ANKARA ASFALTI CAD. NO: 15/223 KONAK/İZMİR
157761,32746,ANONİM,VALİ RAHMİ BEY,BUCA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ - BUCA ŞUBESİ,VALİ RAHMİ BEY MAHALLESİ MENDERES CAD. NO: 63 A BUCA/İZMİR
548671,907,ANONİM,ŞİRİNTEPE,ÇİĞLİ,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ - ÇİĞLİ ŞUBESİ,ŞİRİNTEPE MAH. DERE CAD. NO: 8A ÇİĞLİ / İZMİR
535961,115771,ANONİM,CAMİKEBİR,SEFERİHİSAR,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ - SEFERİHİSAR ŞUBESİ,CAMİKEBİR MAH. ATATÜRK CAD. NO: 50A SEFERİHİSAR / İZMİR
186261,100700,ANONİM,DEDEBAŞI,KARŞIYAKA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ - ŞEMİKLER ŞUBESİ,DEDEBAŞI MAH. ANADOLU CAD. NO: 423A KARŞIYAKA / İZMİR
1613261,175212,ANONİM,EĞİTİM,BALÇOVA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ BALÇOVA ŞUBESİ,EĞİTİM MAHALLESİ ÖZKAVRUK SOKAK NO:20/22 BALÇOVA/İZMİR
1480541,160669,ANONİM,AKDENİZ,KONAK,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ EGE BÖLGE MÜDÜRLÜĞÜ ,AKDENİZ MAHALLESİ FEVZİPAŞA BULVARI NO:1/1 KONAK / İZMİR
1629131,176815,ANONİM,YALI,KARŞIYAKA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ MAVİŞEHİR ŞUBESİ,YALI MAHALLESİ CAHER DUDAYEV BULVARI NO:59/A KARŞIYAKA/İZMİR
1259901,139306,ANONİM,HACI İSA,URLA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ URLA İZMİR ŞUBESİ,HACI İSA MAH. 75.YIL CUMHURİYET CAD. NO: 87 İÇ KAPI NO: 1 URLA / İZMİR
48241,20453,ANONİM,AKDENİZ,KONAK,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ-İZMİR ŞUBESİ,AKDENİZ MAHALLESİ FEVZİPAŞA BULVARI NO:1/1 KAT:ZEMİN-1 KONAK/İZMİR
184761,35910,ANONİM,ALSANCAK,KONAK,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ-LİMAN ALSANCAK ŞUBESİ,ALSANCAK MAH. ATATÜRK CAD. BERRİN REŞAT AKSOY NO: 384A KONAK / İZMİR
986451,110143,ANONİM,MERİÇ,BORNOVA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ-MTK ÇARŞISI ŞUBESİ,MERİÇ MAH. 5745 SK. NO: 2/1I BORNOVA / İZMİR
1029581,114821,ANONİM,KAZIMDİRİK,BORNOVA,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKBANK TÜRK ANONİM ŞİRKETİ-ÖZKANLAR BORNOVA ŞUBESİ,KAZIMDİRİK MAHALLESİ MUSTAFA KEMAL CADDESI NO:112/A BORNOVA/İZMİR
542871,6078,ANONİM,ADALET,BAYRAKLI,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKÇA HOLDİNG ANONİM ŞİRKETİ ,ADALET MAHALLESİ MANAS BULVARI NO:47/A KAT:42 BAYRAKLI / İZMİR
2297670,247560,ANONİM,ÇINARLI,KONAK,47,BANKACILIK VE DİĞER FİNANSAL KURULUŞLAR GRUBU,AKTİF YATIRIM BANKASI ANONİM ŞİRKETİ EGE KURUMSAL ŞUBESİ,ÇINARLI MAH. ŞEHİT POLİS FETHİ SEKİN CAD. NO: 3 İÇ KAPI NO: 1401 KONAK / İZMİR
